date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
07-07-2020,26,21,0,12.9,6,85,8:53 PM,7:45 AM,5:59 AM,6:50 PM,18,25,25,24,26,44,72,0.7,1008,26,10,254,21,bengaluru
08-07-2020,29,21,0,12.9,6,77,9:38 PM,8:39 AM,5:59 AM,6:50 PM,18,26,26,25,20,39,69,9.3,1008,29,9,258,15,bengaluru
09-07-2020,27,22,0,10.5,6,70,10:19 PM,9:31 AM,6:00 AM,6:50 PM,19,26,26,24,24,62,74,24.1,1007,27,8,254,16,bengaluru
10-07-2020,25,21,0,7.8,5,63,10:57 PM,10:19 AM,6:00 AM,6:50 PM,19,24,24,22,27,74,83,30.4,1007,25,8,260,19,bengaluru
11-07-2020,26,21,0,12.5,5,55,11:34 PM,11:06 AM,6:00 AM,6:50 PM,19,25,25,23,24,54,77,13.1,1008,26,9,261,17,bengaluru
12-07-2020,26,22,0,10.5,5,48,No moonrise,11:51 AM,6:00 AM,6:50 PM,19,26,26,24,24,64,75,10.9,1007,26,9,272,17,bengaluru
13-07-2020,28,21,0,8.9,5,41,12:09 AM,12:36 PM,6:01 AM,6:50 PM,19,25,25,24,24,70,74,6.3,1007,28,10,287,17,bengaluru
14-07-2020,25,22,0,7.6,5,34,12:46 AM,1:23 PM,6:01 AM,6:50 PM,20,25,25,23,23,70,80,17.8,1007,25,9,273,16,bengaluru
15-07-2020,25,22,0,6.2,5,26,1:24 AM,2:10 PM,6:01 AM,6:50 PM,19,25,25,23,26,83,78,7.8,1007,25,9,273,20,bengaluru
16-07-2020,27,21,0,8.9,5,19,2:04 AM,3:00 PM,6:01 AM,6:50 PM,19,25,25,24,32,63,74,5.1,1006,27,10,254,24,bengaluru
17-07-2020,27,21,0,8.9,5,12,2:48 AM,3:53 PM,6:02 AM,6:50 PM,19,25,25,23,31,64,78,11.3,1006,27,9,251,21,bengaluru
18-07-2020,25,21,0,7.6,5,5,3:36 AM,4:47 PM,6:02 AM,6:50 PM,19,25,25,23,22,67,79,4.2,1007,25,10,244,17,bengaluru
19-07-2020,23,21,0,8.9,5,0,4:28 AM,5:44 PM,6:02 AM,6:50 PM,20,25,25,22,15,65,86,17.4,1008,23,8,236,10,bengaluru
20-07-2020,29,21,0,11.6,6,0,5:25 AM,6:40 PM,6:02 AM,6:49 PM,19,27,27,25,10,41,73,0.6,1007,29,10,231,8,bengaluru
21-07-2020,30,23,0,11.6,6,2,6:24 AM,7:35 PM,6:03 AM,6:49 PM,20,28,28,26,13,43,68,6.1,1006,30,10,179,10,bengaluru
22-07-2020,29,24,0,8.9,6,10,7:24 AM,8:27 PM,6:03 AM,6:49 PM,20,28,28,27,9,62,69,15,1007,29,9,202,7,bengaluru
23-07-2020,28,24,0,6.2,6,17,8:23 AM,9:16 PM,6:03 AM,6:49 PM,20,27,27,25,13,73,73,29.9,1007,28,8,176,8,bengaluru
24-07-2020,27,23,0,7.6,6,24,9:21 AM,10:02 PM,6:03 AM,6:49 PM,19,26,26,25,15,75,73,23.4,1009,27,8,129,9,bengaluru
25-07-2020,26,21,0,10.3,5,32,10:17 AM,10:46 PM,6:04 AM,6:48 PM,19,25,25,23,22,52,78,9.7,1009,26,9,246,17,bengaluru
26-07-2020,28,21,0,10.3,5,39,11:14 AM,11:31 PM,6:04 AM,6:48 PM,19,26,26,24,23,57,73,3.1,1010,28,10,254,18,bengaluru
27-07-2020,27,21,0,8.9,5,46,12:09 PM,No moonset,6:04 AM,6:48 PM,19,25,25,24,25,57,73,10.6,1009,27,9,278,18,bengaluru
28-07-2020,28,22,0,8.9,6,53,1:06 PM,12:15 AM,6:04 AM,6:48 PM,20,27,27,24,19,59,75,7.9,1007,28,9,296,14,bengaluru
29-07-2020,27,22,0,8.9,6,61,2:03 PM,1:03 AM,6:05 AM,6:47 PM,20,26,26,24,25,62,76,35.6,1006,27,8,274,15,bengaluru
30-07-2020,27,21,0,7.6,5,68,3:03 PM,1:52 AM,6:05 AM,6:47 PM,20,26,26,24,24,68,80,13.8,1006,27,9,253,17,bengaluru
31-07-2020,27,22,0,8.9,6,72,4:02 PM,2:45 AM,6:05 AM,6:47 PM,20,26,26,24,22,62,77,12.8,1007,27,9,256,15,bengaluru
01-08-2020,25,22,0,6.2,5,82,4:59 PM,3:41 AM,6:05 AM,6:46 PM,20,25,25,23,28,80,82,13.9,1007,25,8,263,20,bengaluru
02-08-2020,24,21,0,8.9,5,90,5:54 PM,4:37 AM,6:05 AM,6:46 PM,19,24,24,22,32,73,82,2.5,1007,24,10,258,24,bengaluru
03-08-2020,27,21,0,7.6,5,97,6:45 PM,5:34 AM,6:06 AM,6:46 PM,18,25,25,23,37,77,75,0.9,1006,27,10,264,29,bengaluru
04-08-2020,25,21,0,7.5,5,100,7:32 PM,6:29 AM,6:06 AM,6:45 PM,18,25,25,23,42,70,76,1.3,1005,25,10,261,32,bengaluru
05-08-2020,26,22,0,7.5,5,88,8:14 PM,7:22 AM,6:06 AM,6:45 PM,18,25,25,23,45,72,74,1.3,1003,26,10,258,35,bengaluru
06-08-2020,26,22,0,6.2,5,81,8:54 PM,8:11 AM,6:06 AM,6:45 PM,19,26,26,23,39,83,77,4.2,1004,26,10,254,29,bengaluru
07-08-2020,26,22,0,7.5,5,74,9:31 PM,8:59 AM,6:06 AM,6:44 PM,19,26,26,24,34,73,76,1.4,1007,26,10,258,27,bengaluru
08-08-2020,24,22,0,6.2,5,67,10:07 PM,9:45 AM,6:06 AM,6:44 PM,19,25,25,23,27,85,80,0.7,1008,24,10,269,21,bengaluru
09-08-2020,22,21,0,6.2,5,59,10:43 PM,10:30 AM,6:07 AM,6:43 PM,19,24,24,22,26,84,84,1.7,1008,22,9,264,21,bengaluru
10-08-2020,23,21,0,7.5,5,52,11:20 PM,11:16 AM,6:07 AM,6:43 PM,19,23,23,22,29,82,83,0.7,1008,23,10,261,22,bengaluru
11-08-2020,26,20,0,7.5,5,45,11:59 PM,12:02 PM,6:07 AM,6:42 PM,19,24,24,22,25,79,80,1.5,1009,26,9,273,19,bengaluru
12-08-2020,27,21,0,8.9,5,38,No moonrise,12:51 PM,6:07 AM,6:42 PM,18,25,25,24,30,57,73,0.4,1010,27,10,265,24,bengaluru
13-08-2020,25,21,0,10.2,5,30,12:40 AM,1:42 PM,6:07 AM,6:41 PM,18,24,24,23,27,53,75,0,1009,25,10,267,21,bengaluru
14-08-2020,26,20,0,11.6,5,23,1:26 AM,2:35 PM,6:07 AM,6:41 PM,18,24,24,23,29,43,73,0.1,1008,26,10,259,22,bengaluru
